,Home Team Possession %,Home Team Off Target Shots,Home Team On Target Shots,Home Team Corners,Home Team Throw Ins,Home Team Pass Success %,Home Team Aerials Won,Home Team Clearances,Home Team Fouls,Home Team Yellow Cards,Home Team Red Cards,Away Team Off Target Shots,Away Team On Target Shots,Away Team Corners,Away Team Throw Ins,Away Team Pass Success %,Away Team Aerials Won,Away Team Clearances,Away Team Fouls,Away Team Yellow Cards,Away Team Red Cards,Full Time Result
2623,33,9.0,1.0,3.0,19.0,71.0,22.0,16.0,14.0,4.0,0.0,7.0,5.0,3.0,17.0,87.0,13.0,14.0,13.0,0.0,0.0,0
2624,45,9.0,3.0,10.0,16.0,76.0,26.0,30.0,4.0,1.0,0.0,5.0,4.0,4.0,28.0,78.0,24.0,24.0,10.0,2.0,0.0,1
2625,39,7.0,2.0,4.0,37.0,53.0,24.0,12.0,11.0,1.0,0.0,3.0,3.0,2.0,30.0,68.0,39.0,27.0,11.0,2.0,0.0,2
2626,41,2.0,3.0,1.0,15.0,83.0,12.0,34.0,17.0,0.0,0.0,11.0,2.0,9.0,12.0,86.0,15.0,6.0,6.0,0.0,0.0,0
2627,60,6.0,7.0,5.0,25.0,87.0,14.0,13.0,11.0,3.0,2.0,5.0,6.0,3.0,16.0,75.0,11.0,24.0,16.0,2.0,0.0,2
2628,59,9.0,7.0,7.0,16.0,91.0,3.0,9.0,8.0,1.0,0.0,3.0,3.0,3.0,18.0,85.0,8.0,19.0,8.0,2.0,0.0,1
2629,62,4.0,6.0,9.0,20.0,85.0,17.0,18.0,16.0,2.0,0.0,4.0,5.0,2.0,19.0,69.0,13.0,17.0,11.0,4.0,0.0,0
2630,64,6.0,4.0,3.0,20.0,80.0,25.0,9.0,15.0,2.0,0.0,4.0,4.0,5.0,26.0,65.0,28.0,16.0,12.0,2.0,0.0,0
2631,67,5.0,4.0,7.0,25.0,86.0,19.0,14.0,21.0,2.0,0.0,6.0,2.0,5.0,14.0,74.0,23.0,33.0,15.0,4.0,0.0,2
2632,39,4.0,6.0,8.0,11.0,85.0,5.0,15.0,12.0,2.0,0.0,8.0,5.0,6.0,9.0,88.0,6.0,11.0,4.0,2.0,0.0,1
2633,61,4.0,4.0,3.0,19.0,90.0,11.0,13.0,17.0,2.0,0.0,3.0,2.0,5.0,15.0,84.0,4.0,16.0,6.0,2.0,0.0,0
2634,61,1.0,1.0,1.0,16.0,77.0,22.0,42.0,16.0,1.0,0.0,5.0,4.0,5.0,30.0,68.0,28.0,6.0,18.0,3.0,0.0,0
2635,51,9.0,6.0,5.0,26.0,81.0,9.0,12.0,9.0,0.0,0.0,1.0,3.0,0.0,24.0,75.0,21.0,21.0,14.0,1.0,0.0,0
2636,35,7.0,4.0,1.0,15.0,79.0,8.0,20.0,11.0,0.0,0.0,3.0,7.0,7.0,13.0,89.0,11.0,3.0,15.0,0.0,0.0,0
2637,39,7.0,2.0,3.0,20.0,73.0,13.0,19.0,15.0,3.0,0.0,2.0,3.0,6.0,24.0,80.0,17.0,18.0,14.0,1.0,0.0,2
2638,64,8.0,4.0,5.0,33.0,80.0,35.0,5.0,12.0,3.0,0.0,3.0,4.0,4.0,25.0,61.0,23.0,36.0,8.0,1.0,0.0,1
2639,35,2.0,5.0,2.0,16.0,76.0,9.0,9.0,15.0,3.0,0.0,6.0,7.0,3.0,11.0,88.0,13.0,8.0,9.0,3.0,0.0,2
2640,64,12.0,4.0,7.0,25.0,91.0,9.0,3.0,9.0,2.0,0.0,0.0,4.0,1.0,17.0,80.0,9.0,21.0,14.0,2.0,0.0,2
2641,42,4.0,5.0,2.0,21.0,80.0,17.0,36.0,5.0,0.0,0.0,6.0,8.0,10.0,16.0,88.0,13.0,5.0,7.0,0.0,0.0,0
2642,73,13.0,9.0,8.0,28.0,84.0,25.0,4.0,2.0,1.0,0.0,1.0,2.0,0.0,11.0,59.0,11.0,35.0,13.0,2.0,0.0,0
2643,36,5.0,1.0,4.0,21.0,78.0,7.0,27.0,10.0,3.0,1.0,6.0,2.0,11.0,24.0,90.0,9.0,15.0,7.0,1.0,0.0,2
2644,34,5.0,3.0,3.0,18.0,62.0,18.0,11.0,15.0,5.0,1.0,3.0,1.0,4.0,21.0,80.0,19.0,13.0,11.0,0.0,0.0,0
2645,54,3.0,9.0,2.0,12.0,87.0,17.0,20.0,16.0,2.0,0.0,8.0,5.0,4.0,18.0,85.0,7.0,6.0,11.0,4.0,1.0,0
2646,47,3.0,2.0,2.0,19.0,78.0,17.0,21.0,15.0,1.0,0.0,4.0,0.0,5.0,24.0,77.0,20.0,12.0,19.0,5.0,1.0,0
2647,42,2.0,5.0,3.0,15.0,87.0,7.0,10.0,9.0,0.0,0.0,5.0,5.0,6.0,14.0,91.0,8.0,1.0,7.0,2.0,0.0,0
